EmployeeNumber,Age,Gender,Department,JobRole,DistanceFromHome,MonthlyIncome,Education,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,PerformanceRating,RelationshipSatisfaction,WorkLifeBalance,Attrition,OverTime,MaritalStatus,BusinessTravel,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,TotalWorkingYears,TrainingTimesLastYear,NumCompaniesWorked,StockOptionLevel
813,52,Female,Research & Development,Laboratory Technician,11,3149,4,4,3,3,4,2,3,No,No,Married,Travel_Rarely,5,2,4,9,3,8,1
815,50,Male,Research & Development,Research Director,2,17639,3,3,3,3,3,4,3,No,No,Married,Travel_Rarely,4,3,3,30,3,5,0
816,29,Female,Research & Development,Laboratory Technician,1,2319,2,2,2,1,3,4,3,Yes,Yes,Married,Travel_Rarely,1,0,0,1,1,1,1
817,33,Male,Research & Development,Research Director,7,11691,3,3,3,3,3,4,4,No,No,Married,Travel_Rarely,13,9,7,14,3,0,0
819,33,Female,Sales,Sales Executive,16,5324,3,1,3,1,3,3,3,Yes,No,Single,Travel_Rarely,3,2,2,6,3,5,0
820,47,Female,Research & Development,Manager,2,16752,2,3,3,4,3,3,2,No,Yes,Married,Travel_Rarely,26,14,0,26,3,1,1
823,36,Female,Research & Development,Manufacturing Director,1,5228,3,3,3,2,3,1,3,No,No,Married,Travel_Rarely,9,7,5,10,2,0,1
824,29,Male,Research & Development,Research Scientist,23,2700,2,3,4,3,4,3,3,No,No,Married,Travel_Rarely,10,7,7,10,3,1,1
825,58,Male,Research & Development,Research Director,2,19246,4,4,3,2,3,4,3,Yes,Yes,Single,Travel_Rarely,31,15,8,40,2,7,0
826,35,Female,Research & Development,Research Scientist,1,2506,4,4,4,3,3,3,3,No,No,Single,Travel_Rarely,2,2,2,7,0,3,0
827,42,Female,Research & Development,Manufacturing Director,1,6062,2,4,2,4,3,4,3,No,Yes,Married,Travel_Rarely,4,3,2,8,4,9,1
828,28,Male,Research & Development,Research Scientist,2,4382,4,3,3,3,3,4,2,Yes,No,Single,Travel_Rarely,2,2,1,5,3,6,0
829,36,Male,Human Resources,Human Resources,13,2143,3,3,3,2,3,2,3,No,No,Married,Travel_Rarely,5,2,4,8,2,4,1
830,32,Female,Research & Development,Manufacturing Director,4,6162,3,3,2,3,3,3,3,No,No,Married,Travel_Rarely,14,13,8,14,3,1,1
832,40,Male,Research & Development,Laboratory Technician,16,5094,4,1,2,3,3,4,3,No,No,Single,Travel_Frequently,1,0,0,10,6,6,0
833,30,Female,Research & Development,Manufacturing Director,2,6877,3,3,2,4,4,2,2,No,Yes,Single,Travel_Rarely,0,0,0,12,4,5,0
834,45,Female,Research & Development,Research Scientist,2,2274,3,2,2,3,3,4,3,No,No,Single,Travel_Rarely,1,0,0,1,3,1,0
836,42,Male,Research & Development,Manufacturing Director,29,4434,3,2,3,2,3,4,2,No,No,Married,Travel_Rarely,9,8,8,10,3,1,1
837,38,Male,Research & Development,Healthcare Representative,12,6288,3,1,2,1,3,3,2,No,No,Divorced,Travel_Frequently,4,3,2,13,3,2,1
838,34,Female,Research & Development,Research Scientist,16,2553,4,3,2,4,3,3,3,No,No,Single,Travel_Frequently,5,2,3,6,3,1,0
840,49,Female,Sales,Sales Executive,11,7654,3,3,3,4,3,1,4,Yes,No,Married,Travel_Rarely,9,8,7,9,3,1,2
842,55,Male,Sales,Sales Executive,2,5160,1,3,3,4,3,3,2,Yes,No,Single,Travel_Rarely,9,7,3,12,3,4,0
843,43,Male,Research & Development,Research Director,14,17159,2,2,3,1,4,3,3,No,No,Married,Travel_Rarely,4,1,0,22,3,6,1
844,27,Male,Research & Development,Research Director,5,12808,1,3,2,4,3,2,3,No,Yes,Divorced,Travel_Rarely,9,8,8,9,3,1,1
845,35,Male,Research & Development,Manufacturing Director,7,10221,3,3,3,3,4,2,4,No,No,Single,Travel_Rarely,8,5,6,17,3,3,0
846,28,Female,Sales,Sales Executive,2,4779,4,2,3,2,4,1,3,No,Yes,Married,Travel_Rarely,8,7,5,8,2,1,0
847,34,Male,Human Resources,Human Resources,3,3737,2,3,3,4,3,3,1,No,No,Married,Travel_Rarely,3,2,2,4,1,0,1
848,26,Female,Research & Development,Research Scientist,5,2366,2,3,2,3,3,1,3,Yes,Yes,Married,Travel_Frequently,8,7,7,8,2,1,1
850,27,Male,Research & Development,Research Scientist,3,1706,3,4,3,4,3,3,2,No,No,Married,Non-Travel,0,0,0,0,6,1,3
851,51,Female,Sales,Manager,26,16307,4,1,3,3,3,3,2,No,No,Married,Travel_Rarely,20,6,17,29,2,2,1
852,44,Male,Research & Development,Healthcare Representative,4,5933,3,4,3,2,3,4,2,No,No,Single,Travel_Rarely,5,2,3,10,2,9,0
854,25,Male,Research & Development,Research Scientist,2,3424,1,1,4,1,3,3,2,No,No,Single,Travel_Rarely,4,3,1,6,3,7,0
855,33,Male,Sales,Sales Executive,1,4037,3,1,4,1,4,1,3,No,No,Divorced,Travel_Rarely,9,8,8,9,5,1,1
856,35,Female,Research & Development,Research Scientist,27,2559,1,3,2,1,3,4,2,No,No,Single,Travel_Rarely,6,5,1,6,3,1,0
857,36,Male,Sales,Sales Executive,1,6201,2,2,3,4,3,4,2,No,Yes,Married,Travel_Rarely,18,14,11,18,1,1,1
859,32,Male,Sales,Sales Executive,13,4403,4,2,3,4,3,3,2,No,No,Divorced,Travel_Rarely,5,2,3,8,3,2,1
861,30,Male,Research & Development,Research Scientist,5,3761,4,2,2,4,3,2,2,No,No,Divorced,Travel_Frequently,5,4,3,10,3,9,1
862,53,Female,Sales,Sales Executive,7,10934,2,1,2,4,3,4,3,No,Yes,Married,Travel_Rarely,5,2,4,35,3,7,1
864,45,Male,Sales,Sales Executive,9,10761,3,4,3,1,3,3,3,No,Yes,Divorced,Travel_Rarely,5,4,2,18,2,4,1
865,32,Female,Research & Development,Research Scientist,8,5175,2,3,4,3,3,3,2,No,No,Married,Travel_Rarely,5,3,3,9,3,5,1
867,52,Female,Research & Development,Manufacturing Director,25,13826,4,3,2,4,4,3,3,No,No,Married,Travel_Frequently,9,8,0,31,3,3,0
868,37,Male,Sales,Sales Executive,16,6334,4,4,2,3,3,4,3,No,No,Divorced,Travel_Rarely,1,0,0,9,2,4,2
869,28,Male,Human Resources,Human Resources,8,4936,2,2,2,4,3,4,3,No,No,Divorced,Travel_Rarely,5,1,4,6,6,1,1
872,22,Male,Research & Development,Manufacturing Director,1,4775,2,4,2,4,4,1,1,No,No,Married,Travel_Rarely,2,2,2,4,2,6,2
874,44,Male,Research & Development,Laboratory Technician,8,2818,4,1,4,4,4,3,2,No,Yes,Married,Travel_Rarely,3,2,2,10,2,2,1
875,42,Male,Research & Development,Research Scientist,2,2515,1,2,3,4,3,4,3,No,Yes,Single,Travel_Frequently,2,1,2,8,2,5,0
878,36,Male,Human Resources,Human Resources,8,2342,3,1,2,1,4,3,3,No,No,Married,Travel_Rarely,5,4,3,6,3,0,0
879,25,Male,Sales,Sales Executive,3,4194,1,3,3,1,3,4,3,No,Yes,Married,Travel_Rarely,5,3,3,5,3,1,0
880,35,Female,Research & Development,Manufacturing Director,9,10685,3,4,2,3,4,2,3,No,Yes,Married,Travel_Rarely,17,14,15,17,2,1,1
881,35,Female,Research & Development,Research Scientist,25,2022,4,4,3,2,3,1,2,Yes,Yes,Divorced,Travel_Frequently,10,2,8,10,3,1,1
882,32,Male,Research & Development,Laboratory Technician,1,2314,3,4,3,4,3,2,3,No,No,Divorced,Non-Travel,3,0,2,4,2,0,1
885,25,Male,Sales,Sales Executive,4,4256,1,3,2,1,3,1,4,No,No,Married,Travel_Rarely,5,2,3,5,1,1,0
887,49,Female,Research & Development,Research Scientist,1,3580,3,3,3,1,3,2,3,No,No,Married,Travel_Rarely,4,2,2,7,2,2,1
888,24,Male,Research & Development,Laboratory Technician,4,3162,1,1,2,4,3,4,2,No,No,Married,Non-Travel,5,2,4,6,2,0,0
889,32,Male,Sales,Sales Executive,5,6524,2,2,3,2,3,4,3,No,No,Married,Travel_Frequently,10,8,3,10,3,1,1
893,38,Male,Sales,Sales Representative,9,2899,3,2,2,2,3,4,3,No,No,Married,Travel_Rarely,2,2,2,3,3,0,1
894,42,Female,Research & Development,Laboratory Technician,3,5231,3,3,4,4,3,2,2,No,Yes,Married,Travel_Rarely,5,3,3,17,1,2,1
895,31,Male,Research & Development,Research Scientist,11,2356,4,4,3,4,3,2,3,No,Yes,Married,Travel_Rarely,6,4,2,8,2,3,1
896,29,Female,Sales,Sales Representative,1,2800,3,2,2,3,3,3,3,Yes,Yes,Divorced,Travel_Rarely,3,2,2,5,3,6,3
897,53,Male,Sales,Sales Executive,8,11836,3,1,3,4,3,3,3,No,No,Married,Travel_Rarely,2,0,2,28,3,5,1
899,35,Male,Research & Development,Manufacturing Director,25,10903,3,4,2,2,3,1,3,No,No,Married,Travel_Rarely,13,10,8,16,2,3,0
900,37,Female,Sales,Sales Representative,21,2973,2,3,3,4,3,2,3,No,No,Married,Travel_Frequently,5,4,0,10,3,5,1
901,53,Female,Research & Development,Research Director,23,14275,4,4,3,4,3,3,3,No,No,Single,Travel_Rarely,12,9,8,33,0,6,0
902,43,Female,Research & Development,Healthcare Representative,1,5562,3,4,3,4,3,2,2,No,No,Married,Travel_Frequently,5,2,2,12,2,4,1
903,47,Female,Sales,Sales Executive,2,4537,2,3,3,4,4,1,3,No,Yes,Married,Travel_Rarely,7,6,7,8,2,0,1
904,37,Male,Sales,Sales Executive,19,7642,2,1,3,2,3,4,3,No,Yes,Single,Non-Travel,10,0,9,10,2,1,0
905,50,Male,Research & Development,Manager,2,17924,4,1,3,1,3,4,3,No,No,Divorced,Non-Travel,31,6,7,31,3,1,1
909,39,Female,Human Resources,Human Resources,2,5204,3,4,2,4,3,3,3,No,No,Married,Travel_Rarely,5,4,4,13,2,8,2
910,33,Male,Human Resources,Human Resources,3,2277,2,4,3,2,3,3,4,No,Yes,Divorced,Travel_Rarely,4,3,3,7,4,3,1
911,32,Male,Research & Development,Laboratory Technician,25,2795,4,1,3,4,4,3,1,Yes,Yes,Single,Travel_Rarely,1,0,1,1,2,1,0
912,29,Female,Research & Development,Laboratory Technician,7,2532,1,1,2,4,3,3,3,No,No,Divorced,Travel_Rarely,4,3,3,8,5,6,3
913,44,Male,Research & Development,Research Scientist,9,2559,2,2,3,1,3,4,3,No,Yes,Married,Travel_Rarely,8,7,1,8,0,1,0
916,28,Male,Sales,Sales Executive,5,4908,4,1,3,4,3,2,3,No,No,Single,Travel_Rarely,4,2,2,4,3,1,0
918,58,Male,Research & Development,Laboratory Technician,2,2380,1,4,2,4,3,4,2,Yes,Yes,Divorced,Travel_Frequently,1,0,0,3,3,9,1
920,43,Female,Research & Development,Manufacturing Director,8,4765,3,1,3,2,4,3,4,No,No,Divorced,Travel_Rarely,1,0,0,4,2,4,1
922,20,Female,Sales,Sales Representative,2,2044,3,3,2,3,3,4,2,Yes,No,Single,Travel_Rarely,2,2,2,2,3,1,0
923,21,Female,Research & Development,Research Scientist,18,2693,1,4,3,4,3,1,2,Yes,No,Single,Travel_Rarely,1,0,0,1,3,1,0
924,36,Male,Research & Development,Healthcare Representative,14,6586,1,3,3,4,3,1,2,No,Yes,Married,Travel_Rarely,16,8,11,17,2,0,1
925,47,Female,Sales,Sales Representative,2,3294,4,4,2,4,3,1,2,No,Yes,Single,Travel_Rarely,3,2,2,3,3,1,0
926,22,Female,Research & Development,Manufacturing Director,3,4171,1,2,3,3,3,1,4,Yes,Yes,Married,Travel_Rarely,3,2,2,4,3,0,1
927,41,Female,Research & Development,Laboratory Technician,2,2778,4,2,1,4,3,3,2,Yes,Yes,Divorced,Travel_Rarely,7,7,0,10,1,4,1
930,28,Female,Research & Development,Research Scientist,9,2377,3,3,3,3,3,2,3,No,No,Divorced,Travel_Rarely,2,2,2,6,2,5,1
932,39,Male,Research & Development,Laboratory Technician,6,2404,3,4,3,1,4,4,1,Yes,Yes,Married,Travel_Rarely,2,2,2,8,2,7,0
933,27,Female,Research & Development,Research Scientist,4,2318,3,2,3,3,3,3,3,No,No,Single,Travel_Rarely,1,1,0,1,2,1,0
934,34,Male,Research & Development,Laboratory Technician,10,2008,3,2,3,2,3,2,3,No,No,Divorced,Travel_Rarely,1,0,0,1,3,1,2
936,42,Female,Sales,Sales Executive,14,6244,2,3,2,3,3,1,3,No,No,Single,Travel_Rarely,5,4,3,10,6,7,0
939,33,Male,Research & Development,Research Scientist,1,2799,4,3,2,1,3,2,3,No,Yes,Single,Travel_Rarely,3,2,2,6,1,3,0
940,58,Female,Research & Development,Healthcare Representative,5,10552,3,3,2,2,3,4,3,No,Yes,Divorced,Travel_Rarely,6,0,4,24,3,2,1
941,31,Male,Sales,Sales Representative,7,2329,4,2,2,3,3,2,4,No,No,Married,Travel_Rarely,7,7,2,13,2,3,0
942,35,Female,Research & Development,Healthcare Representative,21,4014,1,4,3,4,4,4,1,No,Yes,Married,Travel_Rarely,10,6,7,10,2,1,1
944,49,Female,Research & Development,Laboratory Technician,8,7403,2,1,3,2,3,3,2,No,No,Married,Travel_Rarely,26,9,7,29,3,4,1
945,48,Male,Research & Development,Research Scientist,20,2259,4,4,3,3,3,1,2,No,No,Married,Travel_Rarely,0,0,0,13,2,4,2
947,31,Female,Sales,Sales Executive,20,6932,2,4,3,3,3,4,2,No,No,Married,Non-Travel,9,8,0,9,2,1,1
949,36,Male,Research & Development,Research Scientist,7,4678,4,2,3,4,3,3,3,No,No,Single,Travel_Rarely,6,2,1,8,6,2,0
950,38,Female,Research & Development,Research Director,1,13582,3,4,3,1,3,2,3,No,No,Married,Travel_Rarely,15,12,11,15,3,1,1
951,32,Female,Research & Development,Laboratory Technician,1,2332,3,3,2,2,4,3,3,No,No,Married,Non-Travel,3,0,2,5,3,6,0
952,25,Male,Sales,Sales Representative,19,2413,2,3,2,2,3,3,3,Yes,Yes,Married,Travel_Rarely,1,0,0,1,2,1,3
954,40,Male,Sales,Sales Executive,10,9705,4,1,2,2,3,2,2,No,No,Divorced,Travel_Rarely,1,0,0,11,2,2,1
956,26,Male,Sales,Sales Executive,1,4294,3,3,2,1,3,2,3,No,No,Single,Travel_Frequently,7,7,7,7,2,1,0
957,41,Male,Research & Development,Laboratory Technician,6,4721,3,4,3,1,3,3,3,No,Yes,Single,Travel_Rarely,18,13,17,20,3,2,0
958,36,Male,Research & Development,Laboratory Technician,2,2519,4,3,3,3,4,3,3,No,No,Single,Travel_Rarely,11,8,9,16,6,4,0
959,19,Male,Sales,Sales Representative,21,2121,3,4,2,2,3,2,4,Yes,Yes,Single,Travel_Rarely,1,0,0,1,3,1,0
960,20,Male,Research & Development,Laboratory Technician,4,2973,3,1,3,1,3,2,3,Yes,No,Single,Travel_Rarely,1,0,0,1,2,1,0
961,31,Female,Research & Development,Healthcare Representative,12,5855,3,4,3,4,3,3,1,No,Yes,Married,Travel_Rarely,9,7,5,10,2,0,2
964,40,Male,Research & Development,Research Scientist,9,3617,4,4,3,2,3,4,3,No,Yes,Divorced,Travel_Frequently,1,1,0,3,2,8,1
966,32,Female,Research & Development,Manufacturing Director,3,6725,4,3,3,1,3,3,4,No,No,Married,Travel_Rarely,8,7,3,8,2,1,1
967,36,Male,Sales,Sales Executive,3,10325,1,3,2,4,3,1,3,Yes,Yes,Married,Travel_Rarely,16,7,7,16,6,1,1
969,33,Female,Research & Development,Healthcare Representative,1,6949,3,2,2,4,3,1,3,No,No,Single,Travel_Rarely,5,0,4,6,3,0,0
970,37,Male,Sales,Sales Executive,1,10609,4,1,2,3,3,3,1,Yes,No,Married,Travel_Rarely,14,1,7,17,2,5,0
972,45,Male,Research & Development,Laboratory Technician,4,4447,2,3,3,2,3,2,2,No,No,Married,Non-Travel,9,7,8,9,5,1,0
974,29,Female,Sales,Sales Representative,20,2157,3,3,3,4,3,2,3,No,No,Married,Travel_Frequently,3,1,2,3,5,1,1
975,35,Female,Sales,Sales Executive,18,4601,3,3,3,3,3,2,3,No,No,Married,Travel_Rarely,5,2,0,5,3,1,0
976,52,Male,Research & Development,Manager,1,17099,2,4,3,4,3,2,2,No,No,Married,Travel_Rarely,9,8,8,26,2,2,1
977,58,Male,Research & Development,Research Scientist,2,2479,3,4,3,3,4,1,3,Yes,No,Single,Travel_Rarely,1,0,0,7,4,4,0
981,53,Male,Sales,Manager,2,14852,2,3,3,3,3,3,4,No,No,Divorced,Travel_Rarely,17,13,2,22,3,6,1
982,30,Male,Sales,Sales Executive,8,7264,2,3,3,3,3,1,4,No,No,Divorced,Travel_Rarely,8,4,7,10,2,5,1
983,38,Female,Sales,Sales Executive,10,5666,3,3,3,4,3,2,3,No,Yes,Single,Non-Travel,5,3,3,6,1,1,0
984,35,Male,Sales,Sales Executive,3,7823,4,4,3,4,3,2,3,No,No,Divorced,Travel_Rarely,10,9,8,12,2,6,1
985,39,Male,Sales,Sales Executive,2,7880,5,1,4,3,3,4,3,No,No,Single,Travel_Rarely,8,7,7,9,3,0,0
986,40,Female,Sales,Sales Executive,24,13194,3,2,4,2,3,4,2,Yes,Yes,Single,Non-Travel,1,0,0,22,2,4,0
987,47,Male,Research & Development,Manufacturing Director,16,5067,4,3,4,3,3,3,4,No,Yes,Divorced,Travel_Frequently,19,10,7,20,3,1,0
990,36,Male,Sales,Sales Executive,8,5079,4,1,3,4,3,4,3,No,No,Divorced,Non-Travel,7,7,7,12,3,4,2
991,31,Male,Research & Development,Research Scientist,9,2321,2,3,2,1,4,1,3,Yes,Yes,Single,Non-Travel,3,2,2,4,0,0,0
992,33,Male,Sales,Manager,17,17444,3,4,3,3,3,4,3,No,No,Single,Non-Travel,10,8,0,10,2,1,0
994,29,Female,Research & Development,Research Scientist,10,2404,3,4,2,1,4,3,3,Yes,Yes,Single,Travel_Rarely,0,0,0,3,5,6,0
995,33,Female,Research & Development,Research Scientist,13,3452,1,2,3,4,3,1,3,No,No,Single,Travel_Rarely,3,2,2,5,4,3,0
996,45,Female,Research & Development,Laboratory Technician,1,2270,4,4,3,4,3,4,3,No,No,Divorced,Travel_Rarely,5,3,2,8,2,3,2
997,50,Male,Research & Development,Research Director,1,17399,2,4,3,4,4,3,2,No,No,Divorced,Travel_Rarely,5,4,3,32,1,9,1
998,33,Female,Research & Development,Healthcare Representative,1,5488,4,3,4,2,3,1,3,No,Yes,Married,Travel_Frequently,6,5,2,6,2,1,1
999,41,Male,Research & Development,Research Director,9,19419,3,1,3,3,3,2,4,No,No,Divorced,Travel_Frequently,18,16,11,21,2,2,1
1001,27,Female,Research & Development,Laboratory Technician,16,2811,4,3,3,2,3,2,3,No,No,Married,Travel_Rarely,2,2,2,4,2,9,1
1002,45,Male,Research & Development,Laboratory Technician,23,3633,2,4,3,1,3,3,3,No,Yes,Married,Non-Travel,9,8,8,9,2,1,1
1003,47,Female,Sales,Sales Executive,4,4163,2,4,3,4,3,3,3,No,Yes,Single,Travel_Rarely,9,0,7,9,0,1,0
1004,30,Female,Research & Development,Research Scientist,22,2132,3,1,3,3,3,2,3,Yes,Yes,Married,Travel_Rarely,5,2,1,7,2,4,0
1005,50,Male,Research & Development,Manufacturing Director,24,13973,3,4,3,3,3,4,3,No,Yes,Married,Travel_Rarely,12,11,5,22,2,3,1
1006,38,Male,Research & Development,Research Scientist,10,2684,1,3,3,3,3,2,2,No,No,Married,Travel_Frequently,2,1,2,3,0,0,1
1007,46,Male,Research & Development,Manufacturing Director,7,10845,2,4,3,3,3,2,3,No,No,Divorced,Travel_Rarely,8,7,7,13,3,6,1
1009,24,Female,Research & Development,Manufacturing Director,17,4377,1,4,2,3,3,2,3,No,No,Divorced,Travel_Rarely,4,2,2,5,6,1,2
1010,35,Male,Research & Development,Laboratory Technician,14,3743,4,3,2,2,4,4,1,Yes,Yes,Divorced,Travel_Rarely,4,2,2,5,2,1,1
1011,31,Female,Research & Development,Manufacturing Director,1,4148,1,3,3,1,3,3,3,No,No,Married,Travel_Frequently,4,3,3,4,1,1,1
1012,18,Male,Research & Development,Research Scientist,5,1051,2,2,3,4,3,4,3,No,No,Single,Non-Travel,0,0,0,0,2,1,0
1013,54,Female,Research & Development,Manufacturing Director,17,10739,3,3,3,3,3,3,3,No,No,Married,Travel_Rarely,10,7,8,22,2,8,1
1014,35,Female,Research & Development,Healthcare Representative,25,10388,4,3,3,3,3,3,2,No,Yes,Divorced,Travel_Rarely,16,10,1,16,3,1,1
1015,30,Female,Research & Development,Research Director,8,11416,2,2,4,1,3,3,2,No,Yes,Married,Travel_Rarely,8,7,7,9,4,0,3
1016,20,Female,Research & Development,Research Scientist,11,2600,3,4,2,1,3,1,3,Yes,Yes,Single,Travel_Rarely,1,0,0,1,2,1,0
1017,30,Female,Research & Development,Laboratory Technician,5,2422,3,2,3,2,3,1,3,Yes,No,Single,Travel_Frequently,3,2,2,4,3,0,0
1018,26,Male,Research & Development,Manufacturing Director,2,5472,2,4,4,4,3,2,3,No,No,Married,Travel_Rarely,8,7,3,8,2,1,0
1019,22,Male,Research & Development,Laboratory Technician,8,2451,1,2,1,1,3,1,2,No,No,Married,Travel_Rarely,4,3,1,4,3,1,1
1022,48,Male,Research & Development,Healthcare Representative,6,4240,3,1,2,3,3,4,3,No,No,Single,Travel_Rarely,2,2,2,19,0,2,0
1024,48,Male,Research & Development,Healthcare Representative,4,10999,4,3,2,3,3,2,3,No,No,Single,Travel_Rarely,15,11,8,27,3,7,0
1025,41,Female,Research & Development,Manufacturing Director,7,5003,2,4,3,3,3,2,3,No,No,Single,Travel_Rarely,2,2,1,8,6,6,0
1026,39,Female,Research & Development,Manufacturing Director,1,12742,1,4,2,4,3,3,3,No,No,Married,Travel_Rarely,21,6,8,21,3,1,1
1027,27,Female,Research & Development,Manufacturing Director,2,4227,4,1,3,4,3,2,3,No,No,Married,Travel_Rarely,3,2,2,4,2,0,1
1028,35,Male,Research & Development,Laboratory Technician,10,3917,3,2,3,4,4,1,2,No,No,Divorced,Travel_Rarely,3,2,2,3,4,1,1
1029,42,Male,Sales,Manager,5,18303,2,4,3,3,3,2,4,No,No,Married,Travel_Rarely,1,0,0,21,3,6,0
1030,50,Male,Research & Development,Laboratory Technician,9,2380,3,1,3,4,3,2,3,No,No,Married,Travel_Rarely,1,0,0,8,5,4,0
1032,59,Female,Research & Development,Manufacturing Director,2,13726,3,3,2,4,3,1,3,No,Yes,Single,Travel_Rarely,5,3,3,30,4,3,0
1033,37,Female,Research & Development,Healthcare Representative,11,4777,2,1,1,2,3,1,1,Yes,No,Married,Travel_Rarely,1,0,0,15,2,5,0
1034,55,Male,Research & Development,Healthcare Representative,18,6385,4,3,3,2,3,4,3,No,Yes,Married,Travel_Frequently,8,7,7,17,3,3,2
1035,41,Female,Research & Development,Research Director,7,19973,1,2,1,3,4,2,3,No,No,Divorced,Non-Travel,21,16,10,21,3,1,2
1036,38,Male,Sales,Sales Executive,3,6861,4,2,3,4,3,3,3,No,Yes,Single,Travel_Rarely,1,0,0,19,1,8,0
1037,26,Male,Sales,Sales Executive,29,4969,2,2,1,1,3,4,3,Yes,No,Single,Non-Travel,2,2,2,7,6,8,0
1038,52,Female,Sales,Manager,2,19845,1,1,1,4,3,4,3,Yes,No,Married,Travel_Rarely,32,14,9,33,3,1,1
1039,44,Female,Sales,Sales Executive,28,13320,3,4,4,4,3,3,3,No,Yes,Married,Travel_Rarely,12,11,11,23,2,3,1
1040,50,Female,Sales,Sales Executive,1,6347,3,4,3,3,3,1,3,No,No,Married,Non-Travel,18,7,13,19,3,0,1
1042,36,Female,Research & Development,Laboratory Technician,16,2743,4,3,4,1,3,3,3,Yes,No,Single,Travel_Rarely,17,13,14,18,1,1,0
1043,39,Female,Research & Development,Manufacturing Director,22,10880,3,4,3,1,3,3,3,No,Yes,Single,Travel_Frequently,21,6,8,21,2,1,0
1044,33,Female,Sales,Sales Representative,8,2342,1,2,2,4,3,4,2,No,No,Single,Non-Travel,2,2,2,3,2,0,0
1045,45,Female,Sales,Manager,11,17650,2,4,3,4,3,2,4,No,No,Married,Travel_Rarely,9,3,1,26,4,3,1
1046,32,Female,Research & Development,Laboratory Technician,29,4025,4,4,3,3,3,2,3,No,No,Single,Non-Travel,8,7,7,10,2,9,0
1047,34,Male,Sales,Sales Executive,1,9725,4,2,4,4,3,4,2,No,No,Divorced,Travel_Rarely,15,1,9,16,2,0,1
1048,59,Male,Sales,Manager,1,11904,2,2,3,4,3,3,1,No,Yes,Married,Travel_Rarely,6,4,4,14,1,3,1
1049,45,Male,Human Resources,Human Resources,24,2177,4,2,3,2,3,1,3,No,No,Single,Travel_Rarely,6,3,4,6,3,1,0
1050,53,Female,Sales,Sales Executive,2,7525,3,3,2,2,3,1,3,No,No,Married,Travel_Frequently,15,7,12,30,2,2,1
1052,36,Male,Research & Development,Laboratory Technician,15,4834,3,1,3,3,3,2,2,Yes,No,Divorced,Travel_Rarely,1,0,0,9,3,7,1
1053,26,Male,Research & Development,Research Scientist,2,2042,3,1,3,1,3,2,3,Yes,Yes,Married,Travel_Frequently,3,2,2,6,2,6,1
1055,34,Female,Sales,Sales Representative,10,2220,4,3,3,3,3,4,3,No,Yes,Married,Travel_Rarely,1,1,0,1,2,1,1
1056,28,Male,Sales,Sales Representative,10,1052,1,4,3,2,4,2,3,No,No,Married,Travel_Rarely,1,0,0,1,5,1,0
1060,38,Male,Research & Development,Research Scientist,3,2821,4,3,3,3,3,1,3,No,No,Married,Travel_Frequently,2,2,2,8,2,3,1
1061,50,Male,Research & Development,Research Director,2,19237,4,2,3,3,3,4,2,No,Yes,Married,Travel_Rarely,8,1,7,29,2,2,1
1062,37,Female,Research & Development,Healthcare Representative,3,4107,3,4,3,2,3,1,2,No,No,Single,Travel_Rarely,4,3,1,8,3,3,0
1066,40,Male,Sales,Sales Executive,26,8396,3,3,3,1,3,2,2,No,No,Married,Travel_Rarely,7,7,5,8,3,1,1
1068,26,Female,Research & Development,Research Scientist,1,2007,1,1,2,3,3,3,3,No,No,Divorced,Travel_Frequently,5,3,3,5,5,1,2
1069,46,Male,Research & Development,Research Director,1,19627,4,4,3,4,3,4,3,No,No,Divorced,Travel_Rarely,2,2,2,23,0,9,2
1070,54,Female,Sales,Sales Executive,2,10686,4,3,2,3,3,2,3,No,No,Married,Travel_Rarely,9,4,0,13,4,6,1
1071,56,Female,Research & Development,Research Scientist,9,2942,3,1,3,3,3,2,3,No,No,Married,Travel_Frequently,5,4,3,18,4,2,1
1073,36,Female,Research & Development,Manufacturing Director,12,8858,5,4,2,4,3,2,2,No,No,Single,Travel_Rarely,14,8,8,15,2,0,0
1074,55,Male,Research & Development,Manager,2,16756,1,3,2,1,3,2,4,No,No,Single,Non-Travel,9,7,2,31,3,7,0
1076,43,Male,Sales,Sales Executive,25,10798,3,3,2,4,3,3,3,No,No,Divorced,Travel_Rarely,1,0,0,18,5,5,1
1077,20,Female,Sales,Sales Representative,9,2323,3,4,3,4,3,2,3,Yes,Yes,Single,Travel_Frequently,2,2,2,2,3,1,0
1079,21,Female,Research & Development,Laboratory Technician,10,1416,3,3,2,1,3,1,2,Yes,No,Single,Travel_Rarely,1,0,0,1,6,1,0
1080,46,Female,Research & Development,Research Scientist,8,4615,4,4,2,1,4,1,3,No,Yes,Divorced,Travel_Rarely,16,13,7,19,2,8,3
1081,51,Male,Research & Development,Research Scientist,4,2461,4,1,3,3,3,3,4,Yes,Yes,Married,Travel_Rarely,10,0,7,18,2,9,3
1082,28,Male,Research & Development,Healthcare Representative,24,8722,2,2,2,1,3,1,2,Yes,No,Single,Non-Travel,10,7,9,10,2,1,0
1083,26,Male,Research & Development,Laboratory Technician,1,3955,2,1,2,1,3,1,3,No,No,Married,Travel_Rarely,5,3,3,6,2,1,2
